CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography
632,42.0,4,119624.6,2,1.0,1.0,195978.86,Germany
559,24.0,3,114739.92,1,1.0,0.0,85891.02,Spain
661,30.0,7,0.0,2,1.0,0.0,72196.57,France
483,30.0,9,0.0,2,0.0,0.0,136356.97,France
675,69.0,1,0.0,2,1.0,0.0,157097.09,France
599,41.0,2,91328.71,1,1.0,0.0,115724.78,France
473,35.0,6,69617.36,1,1.0,0.0,143345.69,France
426,34.0,3,0.0,2,1.0,1.0,61230.83,France
601,74.0,2,0.0,2,0.0,1.0,51554.58,France
741,36.0,3,0.0,2,1.0,1.0,89804.83,France
667,39.0,2,0.0,2,1.0,0.0,40721.24,Spain
741,32.0,5,0.0,1,1.0,1.0,64839.23,France
588,37.0,7,70258.88,2,1.0,0.0,139607.61,Germany
741,60.0,5,0.0,1,1.0,1.0,38914.51,France
702,38.0,9,0.0,2,1.0,1.0,158527.45,Spain
487,24.0,7,133628.09,2,1.0,1.0,98570.01,France
654,29.0,2,91955.61,1,1.0,0.0,37065.66,France
850,49.0,8,98649.55,1,1.0,0.0,119174.88,Germany
697,63.0,7,148368.02,1,0.0,0.0,118862.08,France
757,30.0,3,145396.49,1,0.0,1.0,198341.15,Spain
610,57.0,7,72092.95,4,0.0,1.0,113228.82,France
663,42.0,1,82228.67,2,1.0,0.0,71359.78,France
694,38.0,1,0.0,2,0.0,1.0,156858.2,France
437,26.0,1,120923.52,1,0.0,1.0,78854.57,France
629,59.0,9,113657.83,1,1.0,1.0,116848.79,France
689,33.0,2,161814.64,2,1.0,0.0,169381.9,Germany
629,40.0,9,0.0,1,1.0,0.0,106.67,France
618,56.0,7,0.0,1,1.0,1.0,142400.27,France
474,45.0,10,0.0,2,0.0,0.0,172175.9,France
761,34.0,2,0.0,2,1.0,0.0,61251.25,Spain
665,41.0,8,96147.55,1,1.0,0.0,137037.97,France
683,30.0,10,57657.49,1,0.0,0.0,79240.9,France
590,31.0,8,112211.61,1,1.0,0.0,26261.42,France
812,24.0,10,0.0,2,1.0,1.0,156906.15,France
832,34.0,6,138190.13,2,0.0,1.0,146511.2,Spain
809,43.0,2,0.0,2,1.0,1.0,132908.07,France
685,40.0,7,0.0,1,1.0,0.0,72852.74,France
803,36.0,1,0.0,2,1.0,1.0,149370.93,France
617,50.0,7,0.0,1,1.0,0.0,184839.7,Spain
775,38.0,6,179886.41,2,0.0,0.0,153122.58,Germany
698,39.0,9,161993.89,1,0.0,0.0,90212.38,Spain
657,39.0,4,80293.81,1,1.0,0.0,97192.76,France
562,62.0,3,0.0,2,1.0,0.0,105986.01,France
642,56.0,6,103244.86,2,1.0,0.0,143049.72,Germany
584,40.0,4,82441.75,1,0.0,0.0,80852.11,France
773,36.0,4,105858.71,1,0.0,1.0,4395.45,Germany
708,43.0,0,118994.84,1,1.0,0.0,181499.77,Germany
705,35.0,4,136496.12,2,1.0,0.0,116672.02,Germany
643,43.0,1,0.0,2,1.0,1.0,145764.4,Spain
682,58.0,4,0.0,1,1.0,0.0,176036.01,Spain
614,34.0,5,0.0,2,1.0,0.0,185561.89,France
492,38.0,8,57068.43,2,1.0,0.0,188974.81,Germany
562,75.0,5,87140.85,1,1.0,1.0,39351.64,France
509,29.0,0,107712.57,2,1.0,1.0,92898.17,Germany
787,39.0,10,108935.39,1,1.0,1.0,101168.3,Spain
445,33.0,7,0.0,2,1.0,0.0,122625.68,France
778,47.0,6,127299.34,2,1.0,0.0,124694.99,Spain
633,58.0,6,98308.51,1,1.0,1.0,132034.13,Spain
793,25.0,3,100913.57,1,0.0,0.0,10579.72,Spain
618,35.0,10,0.0,2,1.0,0.0,180439.75,France
607,36.0,10,106702.94,2,0.0,0.0,198313.69,Germany
687,30.0,6,0.0,2,0.0,0.0,179206.92,France
427,42.0,1,75681.52,1,1.0,1.0,57098.0,Germany
578,40.0,7,0.0,2,0.0,0.0,102233.73,France
763,37.0,8,0.0,2,1.0,1.0,933.38,Spain
794,33.0,8,0.0,2,0.0,0.0,91340.02,Spain
776,37.0,2,0.0,1,0.0,1.0,8065.0,France
697,74.0,3,108071.36,2,1.0,1.0,16445.79,Germany
639,43.0,6,99610.92,2,1.0,0.0,187296.78,France
651,41.0,4,133432.59,1,0.0,1.0,151303.48,Germany
683,25.0,4,0.0,2,1.0,0.0,152698.24,France
516,27.0,9,0.0,1,1.0,0.0,142680.64,France
850,61.0,1,0.0,1,1.0,0.0,53067.83,France
595,44.0,4,96553.52,2,1.0,0.0,143952.24,Germany
561,34.0,1,78829.53,1,1.0,1.0,12148.2,France
604,40.0,5,155455.43,1,0.0,1.0,113581.85,Spain
611,28.0,2,0.0,2,0.0,0.0,25395.83,France
698,31.0,1,156111.24,1,0.0,0.0,134790.74,France
829,27.0,9,112045.67,1,1.0,1.0,119708.21,Germany
591,39.0,3,0.0,3,1.0,0.0,140469.38,Spain
629,37.0,1,35549.81,2,0.0,0.0,49676.33,Germany
692,34.0,7,0.0,2,1.0,0.0,195074.62,France
691,52.0,3,0.0,1,1.0,0.0,175843.68,France
749,42.0,1,129776.72,2,0.0,1.0,143538.51,France
585,33.0,8,0.0,2,1.0,0.0,114182.07,Spain
503,31.0,4,0.0,2,1.0,1.0,21645.06,Spain
772,23.0,2,0.0,2,1.0,0.0,18364.19,France
689,31.0,3,139799.63,1,0.0,1.0,120663.57,Spain
546,45.0,2,0.0,1,0.0,0.0,197789.83,Spain
627,27.0,1,62092.9,1,1.0,1.0,105887.04,France
568,40.0,1,99282.63,1,0.0,0.0,134600.94,Germany
717,38.0,7,0.0,2,1.0,1.0,158580.05,France
690,29.0,5,0.0,2,1.0,0.0,108577.97,France
560,66.0,9,0.0,1,1.0,1.0,15928.49,France
734,22.0,5,130056.23,1,0.0,0.0,121894.31,France
767,47.0,2,0.0,1,1.0,0.0,48161.18,Spain
785,28.0,8,0.0,2,1.0,0.0,77231.27,France
702,34.0,4,100054.77,1,1.0,0.0,109496.45,France
504,40.0,5,0.0,2,0.0,0.0,146703.36,Spain
645,43.0,9,140121.17,1,1.0,0.0,11302.7,Germany
545,74.0,3,0.0,2,1.0,1.0,161326.73,Spain
629,31.0,6,0.0,1,1.0,1.0,16447.6,France
642,40.0,7,0.0,2,1.0,0.0,183963.34,France
812,33.0,2,127154.14,2,0.0,1.0,105383.49,Germany
613,69.0,9,78778.49,1,0.0,1.0,8751.59,Germany
681,65.0,7,134714.7,2,0.0,1.0,190419.81,Spain
645,24.0,3,34547.82,1,1.0,1.0,11638.17,France
477,47.0,9,144900.58,1,1.0,0.0,61315.37,France
762,34.0,4,88815.56,2,1.0,0.0,68562.26,Germany
834,33.0,5,0.0,2,1.0,0.0,66285.18,Spain
762,46.0,6,123571.77,3,0.0,1.0,57014.17,Germany
538,39.0,7,108055.1,2,1.0,0.0,27231.26,Germany
718,32.0,9,169947.41,2,1.0,1.0,27979.16,Germany
529,30.0,2,116295.29,1,1.0,0.0,75285.47,France
616,23.0,8,73112.95,1,1.0,1.0,62733.05,France
687,35.0,3,99587.43,1,1.0,1.0,1713.1,France
429,24.0,4,95741.75,1,1.0,0.0,46170.75,France
758,23.0,5,122739.1,1,1.0,0.0,102460.84,Germany
619,41.0,5,92467.58,1,1.0,0.0,38270.47,Germany
625,36.0,9,108546.16,3,1.0,0.0,133807.77,France
735,53.0,8,123845.36,2,0.0,1.0,170454.93,France
768,25.0,0,78396.08,1,1.0,1.0,8316.19,France
695,39.0,5,0.0,2,0.0,0.0,102763.69,Spain
536,32.0,7,178011.5,2,1.0,0.0,22375.14,France
552,34.0,4,0.0,2,1.0,0.0,140286.69,Spain
721,38.0,7,0.0,1,0.0,1.0,53534.8,Spain
550,36.0,2,113877.23,2,1.0,0.0,174921.91,Germany
588,34.0,10,129417.82,1,1.0,0.0,153727.32,Germany
607,38.0,3,98205.77,1,1.0,0.0,176318.27,Germany
605,43.0,8,125338.8,2,1.0,0.0,23970.13,Germany
635,29.0,2,0.0,2,0.0,0.0,117173.8,Spain
413,34.0,9,0.0,2,0.0,0.0,6534.18,France
509,41.0,7,126683.8,1,0.0,1.0,114775.53,Spain
639,28.0,8,0.0,2,1.0,0.0,126561.07,Spain
587,46.0,6,88820.29,1,0.0,0.0,70224.34,France
530,41.0,4,0.0,2,0.0,1.0,147606.71,Spain
656,32.0,1,104254.27,1,1.0,1.0,17034.37,Spain
572,35.0,1,139979.07,1,1.0,0.0,185662.84,Germany
825,34.0,9,0.0,2,1.0,1.0,31933.06,France
458,35.0,5,166492.48,1,1.0,0.0,135287.74,Spain
554,41.0,4,112152.89,1,0.0,1.0,36242.19,Spain
657,75.0,7,126273.95,1,0.0,1.0,91673.6,Spain
749,30.0,1,0.0,2,0.0,1.0,126551.65,France
663,40.0,6,156218.19,1,0.0,1.0,33607.72,France
485,30.0,5,156771.68,1,1.0,1.0,141148.21,Germany
833,37.0,8,151226.18,2,1.0,1.0,136129.49,France
547,43.0,1,92350.36,1,0.0,1.0,80262.91,France
767,47.0,5,0.0,1,1.0,0.0,121964.46,Spain
850,22.0,3,0.0,1,1.0,1.0,144385.54,Spain
838,39.0,5,166733.92,2,1.0,0.0,14279.44,Spain
625,57.0,7,0.0,1,0.0,0.0,84106.17,Spain
587,33.0,5,100116.82,1,1.0,0.0,34215.58,France
629,39.0,5,0.0,2,0.0,0.0,116748.14,Spain
540,40.0,8,0.0,2,1.0,0.0,3560.0,Spain
451,33.0,6,0.0,2,1.0,0.0,184954.11,France
675,66.0,5,115654.47,2,1.0,1.0,131970.86,Spain
710,34.0,8,147833.3,2,0.0,1.0,1561.58,Germany
806,37.0,2,137794.18,2,0.0,1.0,75232.02,Spain
569,41.0,2,0.0,2,1.0,0.0,134272.57,Spain
619,32.0,4,175406.13,2,1.0,1.0,172792.43,Spain
802,60.0,3,92887.06,1,1.0,0.0,39473.63,France
702,44.0,9,0.0,1,0.0,0.0,59207.41,Spain
679,30.0,9,0.0,2,1.0,0.0,157871.55,France
648,37.0,7,0.0,2,1.0,0.0,194238.92,France
564,30.0,0,100954.88,2,0.0,0.0,134175.15,Germany
762,26.0,7,123709.46,2,1.0,1.0,169654.57,Spain
541,39.0,6,109844.81,1,1.0,0.0,25289.23,France
472,37.0,1,0.0,2,1.0,1.0,48357.9,France
606,36.0,0,94153.56,1,0.0,1.0,120138.27,Spain
779,48.0,2,115290.27,1,0.0,0.0,98912.69,France
683,47.0,1,0.0,2,1.0,0.0,148989.15,France
748,40.0,3,95297.11,1,0.0,0.0,171515.84,France
670,38.0,4,119624.54,2,1.0,1.0,110472.12,France
651,41.0,4,38617.2,1,1.0,1.0,104876.8,France
515,37.0,2,90432.92,1,1.0,1.0,188366.04,Germany
627,32.0,1,0.0,1,1.0,0.0,106851.7,France
659,38.0,9,0.0,2,1.0,1.0,132809.18,France
850,45.0,2,122311.21,1,1.0,1.0,19482.5,Spain
404,54.0,4,125456.07,1,1.0,0.0,83715.66,Germany
696,31.0,8,122021.92,2,1.0,0.0,33828.64,Germany
668,32.0,10,92041.87,1,1.0,1.0,43595.9,Germany
593,38.0,5,142658.04,2,0.0,1.0,135337.11,Germany
597,26.0,5,0.0,2,0.0,1.0,95159.13,Spain
546,42.0,7,139070.51,1,1.0,1.0,86945.0,Spain
575,37.0,9,133292.45,1,1.0,0.0,111175.09,Spain
719,37.0,10,145382.61,1,1.0,0.0,80408.59,Spain
517,28.0,2,115062.61,1,1.0,0.0,179056.23,France
599,35.0,6,137102.65,1,0.0,0.0,76870.81,Spain
685,21.0,6,97956.5,1,1.0,1.0,164966.27,Germany
508,54.0,10,0.0,1,1.0,1.0,175749.36,Spain
738,67.0,1,130652.52,1,0.0,1.0,22762.23,France
723,28.0,5,91938.31,1,1.0,0.0,143481.85,Germany
534,24.0,1,0.0,1,1.0,1.0,169653.32,France
659,32.0,9,0.0,2,1.0,1.0,93155.75,France
608,33.0,4,0.0,1,0.0,1.0,130474.03,France
699,39.0,2,109724.38,1,1.0,1.0,180022.39,France
500,34.0,6,0.0,1,1.0,1.0,140268.45,France
694,42.0,3,156864.2,2,0.0,0.0,88890.75,France
709,30.0,9,115479.48,2,1.0,1.0,134732.99,Germany
644,26.0,8,96659.64,2,1.0,1.0,138775.69,Spain
516,31.0,3,0.0,2,1.0,0.0,124202.26,Spain
649,35.0,4,108306.44,1,1.0,1.0,192486.24,France
768,28.0,3,109118.05,2,0.0,1.0,50911.41,France
645,38.0,1,68079.8,1,0.0,1.0,166264.89,Spain
655,60.0,3,0.0,2,1.0,1.0,86981.45,France
718,32.0,8,0.0,2,1.0,1.0,41399.33,Spain
850,39.0,2,0.0,2,1.0,0.0,179451.42,France
747,41.0,5,0.0,2,1.0,1.0,22750.17,France
634,37.0,7,51582.5,2,1.0,1.0,184312.88,France
457,38.0,6,0.0,2,1.0,0.0,173219.09,Spain
607,31.0,8,0.0,2,1.0,1.0,43196.5,France
663,33.0,8,122528.18,1,1.0,0.0,196260.3,Spain
641,35.0,4,0.0,2,0.0,0.0,125986.18,France
642,30.0,8,134497.27,1,0.0,0.0,43250.54,Germany
731,41.0,9,152243.57,1,1.0,1.0,88783.59,France
655,35.0,1,82231.51,2,1.0,0.0,88798.02,Spain
700,44.0,2,58781.76,1,1.0,0.0,16874.92,France
576,36.0,8,166287.85,1,1.0,1.0,23305.85,Germany
527,28.0,2,123802.98,2,1.0,1.0,155846.69,Germany
724,34.0,3,132352.69,1,1.0,0.0,80320.3,France
580,38.0,9,115442.19,2,1.0,0.0,128481.5,Germany
641,42.0,6,0.0,2,0.0,0.0,121138.77,France
657,42.0,5,41473.33,1,1.0,0.0,112979.6,Spain
544,22.0,4,0.0,2,1.0,0.0,70007.67,Spain
582,50.0,2,148942.0,1,1.0,1.0,116944.3,France
496,59.0,7,91680.1,2,1.0,0.0,163141.18,Germany
659,42.0,2,0.0,1,0.0,0.0,162734.31,Spain
760,42.0,0,77992.97,2,1.0,1.0,97906.38,Germany
809,24.0,7,109558.36,1,1.0,0.0,183515.13,France
622,36.0,0,108960.0,2,1.0,0.0,111180.3,Spain
745,34.0,7,132944.53,1,1.0,1.0,31802.92,Spain
635,36.0,9,81231.85,2,1.0,0.0,196731.08,Germany
657,36.0,8,188241.05,2,0.0,0.0,183058.51,Spain
755,34.0,3,0.0,2,1.0,1.0,158816.03,France
611,52.0,7,0.0,1,0.0,1.0,73585.18,Spain
776,32.0,4,109421.13,2,1.0,1.0,126517.46,Germany
720,44.0,4,0.0,2,1.0,0.0,163471.01,France
727,38.0,2,62276.99,1,1.0,1.0,59280.79,Spain
690,42.0,5,0.0,2,0.0,1.0,120512.08,France
793,63.0,0,0.0,2,0.0,1.0,27166.75,Spain
728,33.0,8,129907.63,1,0.0,1.0,36083.96,France
687,48.0,4,0.0,2,1.0,1.0,170893.85,France
655,39.0,6,94631.26,2,1.0,1.0,148948.52,France
470,39.0,5,117469.91,2,0.0,0.0,63705.9,Germany
776,36.0,1,0.0,2,1.0,0.0,53477.76,France
733,44.0,6,168165.84,1,0.0,1.0,197193.49,France
434,55.0,6,0.0,1,0.0,1.0,73562.05,Spain
594,40.0,0,152092.44,2,1.0,1.0,83508.93,Germany
802,38.0,1,142557.11,1,1.0,1.0,172497.73,France
471,28.0,5,0.0,2,1.0,1.0,22356.97,Spain
558,36.0,0,126606.63,2,1.0,1.0,172363.52,Germany
600,32.0,1,78535.25,1,1.0,0.0,64349.6,France
769,38.0,6,0.0,2,0.0,0.0,104393.78,Spain
680,32.0,5,0.0,1,1.0,1.0,150684.23,France
850,46.0,2,157866.77,1,1.0,1.0,18986.12,France
750,35.0,3,0.0,1,1.0,0.0,191520.5,France
775,33.0,3,83501.66,2,1.0,0.0,128841.31,Germany
661,41.0,1,0.0,2,0.0,1.0,131300.68,France
636,37.0,9,157098.52,1,1.0,1.0,153535.27,Germany
692,34.0,4,109699.08,1,1.0,1.0,37898.91,Spain
631,33.0,2,0.0,2,1.0,1.0,158268.84,Spain
659,33.0,7,89939.62,1,1.0,0.0,136540.09,France
656,37.0,2,0.0,2,0.0,1.0,67840.81,France
563,39.0,5,0.0,2,1.0,1.0,17603.81,France
744,34.0,3,0.0,2,1.0,0.0,27244.35,Spain
562,41.0,5,165445.04,2,1.0,0.0,85787.31,Spain
485,41.0,2,100254.76,2,1.0,1.0,12706.67,France
358,52.0,8,143542.36,3,1.0,0.0,141959.11,Spain
464,34.0,5,76001.57,1,1.0,1.0,158668.87,Spain
490,34.0,5,122952.9,2,0.0,0.0,154360.97,France
445,37.0,3,0.0,2,1.0,1.0,180012.39,France
554,43.0,2,120847.11,1,1.0,0.0,7611.61,Germany
