CustomerID,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashBackAmount,Churn
50001,5,Mobile Phone,3,12,UPI,Male,2,3,Fashion,4,Married,2,0,15,0,1,3,145.58,0
50002,36,Mobile Phone,1,36,Credit Card,Female,2,3,Fashion,3,Single,2,0,14,1,3,3,210.05,0
50003,15,Mobile Phone,1,30,Credit Card,Male,3,3,Fashion,4,Single,1,0,25,1,2,5,164.88,0
50004,10,Computer,2,21,UPI,Female,4,1,Laptop & Accessory,5,Single,1,0,19,3,7,12,176.56,0
50005,2,Mobile Phone,2,9,Debit Card,Female,3,2,Laptop & Accessory,1,Single,2,0,20,2,3,6,149.37,0
50006,2,Computer,3,24,Debit Card,Male,4,2,Laptop & Accessory,2,Married,1,0,15,0,1,5,132.06,0
50007,0,Mobile Phone,3,24,COD,Male,4,3,Laptop & Accessory,3,Single,3,0,19,3,4,6,156.47,1
50008,24,Computer,1,13,Credit Card,Male,4,2,Mobile Phone,4,Married,3,1,20,4,5,16,179.79,0
50009,11,Computer,3,9,Debit Card,Female,2,3,Laptop & Accessory,3,Married,5,0,14,2,4,9,160.62,1
50010,14,Computer,1,23,Debit Card,Male,2,3,Mobile Phone,2,Single,1,0,20,1,3,11,150.72,1
50011,0,Computer,2,32,UPI,Male,3,3,Grocery,3,Single,4,1,20,1,5,4,130.45,1
50012,42,Computer,1,11,Credit Card,Female,3,3,Fashion,3,Married,6,0,19,2,6,11,226.99,0
50013,21,Phone,1,20,Debit Card,Male,2,3,Fashion,1,Divorced,3,0,20,3,7,3,190.81,0
50014,2,Mobile Phone,1,11,UPI,Female,2,3,Fashion,3,Married,5,0,23,4,8,1,122.43,0
50015,2,Mobile Phone,1,11,Credit Card,Male,3,3,Fashion,3,Divorced,3,0,17,0,3,14,146.39,0
50016,2,Mobile Phone,3,17,COD,Female,3,1,Laptop & Accessory,5,Single,4,0,21,0,3,5,140.91,1
50017,4,Mobile Phone,3,11,Debit Card,Male,2,3,Fashion,4,Married,1,0,24,1,2,12,128.12,1
50018,8,Mobile Phone,3,15,Credit Card,Female,3,2,Fashion,3,Single,1,1,19,1,5,1,154.31,0
50019,6,Mobile Phone,2,25,Debit Card,Female,3,1,Fashion,5,Single,1,0,14,0,3,4,151.31,0
50020,4,Mobile Phone,1,8,Credit Card,Female,2,1,Fashion,4,Single,6,0,20,1,2,10,137.75,0
50021,11,Mobile Phone,1,21,Debit Card,Male,4,2,Others,2,Divorced,3,0,26,2,5,0,148.53,0
50022,1,Mobile Phone,1,16,Credit Card,Female,1,3,Fashion,3,Married,2,0,23,0,1,3,125.17,0
50023,4,Phone,1,18,Debit Card,Female,3,3,Others,4,Married,3,0,17,4,6,4,148.84,0
50024,5,Mobile Phone,2,16,Debit Card,Female,5,4,Mobile Phone,4,Single,1,0,13,3,4,2,144.31,0
50025,7,Computer,2,26,COD,Male,2,3,Laptop & Accessory,2,Married,4,0,20,1,5,14,136.01,0
50026,18,Mobile Phone,1,18,Debit Card,Male,2,3,Fashion,4,Single,2,1,21,3,7,9,192.39,1
50027,2,Phone,1,13,Credit Card,Male,2,1,Others,4,Divorced,2,0,13,1,3,10,124.72,0
50028,8,Computer,1,16,E Wallet,Male,2,2,Fashion,1,Married,2,0,26,1,3,1,148.73,0
50029,10,Computer,1,13,E Wallet,Female,2,3,Others,2,Single,2,1,20,0,4,4,132.72,1
50030,0,Computer,1,11,E Wallet,Male,4,2,Laptop & Accessory,3,Divorced,4,0,20,2,3,7,136.24,0
50031,11,Mobile Phone,3,24,E Wallet,Male,2,3,Laptop & Accessory,3,Single,3,0,13,1,2,3,142.83,1
50032,2,Phone,1,13,COD,Female,1,3,Laptop & Accessory,1,Single,3,0,13,2,5,5,148.64,1
50033,0,Computer,3,8,E Wallet,Male,4,2,Mobile Phone,1,Married,2,0,20,1,3,4,150.89,0
50034,35,Computer,1,18,UPI,Male,3,3,Laptop & Accessory,5,Married,4,0,23,2,3,1,226.02,0
50035,40,Computer,1,13,Credit Card,Male,3,2,Others,2,Single,9,1,14,0,1,2,193.89,1
50036,19,Mobile Phone,3,29,E Wallet,Male,2,4,Fashion,3,Married,3,1,20,0,2,18,167.36,1
50037,4,Computer,2,19,Credit Card,Female,4,1,Laptop & Accessory,3,Single,3,0,20,3,5,17,151.82,0
50038,1,Mobile Phone,1,28,Debit Card,Female,2,1,Laptop & Accessory,1,Single,1,0,22,1,2,7,108.8,0
50039,13,Computer,3,21,Credit Card,Male,3,4,Fashion,1,Married,1,0,12,2,3,10,172.37,1
50040,6,Mobile Phone,1,24,Credit Card,Female,4,3,Others,3,Married,2,0,16,3,6,1,145.84,0
50041,1,Phone,1,18,Credit Card,Female,2,2,Laptop & Accessory,4,Single,3,0,19,2,3,10,122.51,0
50042,8,Mobile Phone,3,22,Credit Card,Male,4,3,Mobile Phone,4,Divorced,2,1,17,3,5,5,137.58,0
50043,0,Mobile Phone,3,11,Debit Card,Male,4,3,Laptop & Accessory,5,Married,9,1,22,2,6,14,140.22,0
50044,28,Computer,1,21,Credit Card,Female,5,2,Laptop & Accessory,3,Single,3,0,15,0,1,3,197.04,0
50045,3,Computer,1,9,COD,Male,4,4,Fashion,2,Divorced,2,0,12,2,6,13,142.7,0
50046,13,Computer,3,15,Credit Card,Female,2,3,Grocery,3,Single,4,1,20,2,5,17,189.76,0
50047,4,Mobile Phone,1,12,Debit Card,Male,3,2,Others,3,Divorced,2,0,23,2,4,6,134.81,0
50048,8,Mobile Phone,1,17,Credit Card,Male,4,5,Fashion,2,Divorced,6,0,15,3,4,2,175.34,1
50049,9,Computer,2,13,UPI,Male,1,2,Laptop & Accessory,4,Married,3,0,25,2,6,6,181.07,0
50050,2,Phone,3,9,COD,Female,3,2,Mobile Phone,2,Married,3,0,23,1,4,0,125.5,0
50051,41,Computer,1,9,UPI,Male,2,1,Mobile Phone,2,Married,2,0,19,2,5,4,222.91,0
50052,17,Mobile Phone,3,9,Debit Card,Female,3,2,Laptop & Accessory,5,Married,1,1,11,2,3,3,198.58,0
50053,33,Phone,2,17,Credit Card,Male,4,2,Mobile Phone,3,Divorced,10,0,20,1,2,2,206.94,0
50054,27,Mobile Phone,2,17,COD,Female,3,3,Laptop & Accessory,2,Married,4,0,16,3,6,7,215.84,0
50055,10,Mobile Phone,3,13,Credit Card,Male,5,3,Grocery,4,Married,4,0,14,3,5,3,153.31,0
50056,30,Mobile Phone,3,18,Debit Card,Female,3,4,Laptop & Accessory,2,Single,2,0,16,1,4,4,207.16,0
50057,1,Mobile Phone,1,14,Debit Card,Male,3,3,Mobile Phone,1,Divorced,3,0,14,0,2,0,134.05,0
50058,2,Computer,1,18,COD,Female,3,3,Laptop & Accessory,5,Married,2,0,25,4,5,2,146.79,0
50059,0,Mobile Phone,3,15,Credit Card,Male,5,3,Mobile Phone,3,Single,1,0,21,1,2,16,128.2,1
50060,4,Mobile Phone,2,21,COD,Male,4,4,Mobile Phone,4,Married,4,0,13,1,3,11,159.23,0
50061,5,Mobile Phone,2,11,Debit Card,Female,5,2,Fashion,5,Single,1,0,12,1,4,10,163.62,0
50062,3,Mobile Phone,2,7,E Wallet,Female,5,4,Mobile Phone,3,Single,3,1,23,2,5,18,143.39,1
50063,21,Computer,3,14,Debit Card,Female,4,2,Grocery,1,Divorced,3,0,21,1,4,11,182.63,0
50064,5,Mobile Phone,3,16,Debit Card,Male,4,2,Mobile Phone,2,Divorced,2,0,21,1,3,10,173.52,0
50065,3,Mobile Phone,3,10,E Wallet,Male,2,2,Others,2,Married,1,0,19,2,4,4,137.26,0
50066,9,Computer,2,10,Credit Card,Male,2,3,Laptop & Accessory,3,Married,3,0,23,0,3,2,154.34,0
50067,1,Computer,1,19,E Wallet,Male,4,5,Laptop & Accessory,3,Married,4,0,12,1,5,22,159.78,1
50068,19,Computer,2,19,COD,Male,3,2,Grocery,3,Single,1,0,15,2,4,9,188.62,1
50069,0,Mobile Phone,2,14,Debit Card,Female,4,3,Fashion,4,Single,2,0,17,1,2,5,119.49,1
50070,52,Computer,2,8,Debit Card,Male,4,2,Mobile Phone,1,Married,3,0,17,4,8,4,269.85,0
50071,17,Phone,2,19,E Wallet,Female,2,3,Mobile Phone,1,Single,8,0,12,4,7,6,187.15,1
50072,2,Computer,1,16,UPI,Male,4,3,Fashion,5,Single,3,0,12,0,2,1,144.42,0
50073,0,Computer,2,12,E Wallet,Male,4,4,Laptop & Accessory,4,Divorced,5,0,11,2,6,1,133.02,0
50074,20,Mobile Phone,2,22,Credit Card,Male,3,4,Fashion,5,Married,2,1,24,2,4,8,184.57,1
50075,14,Phone,3,6,E Wallet,Female,3,2,Mobile Phone,2,Married,1,1,21,2,4,3,168.89,1
50076,15,Mobile Phone,2,15,Debit Card,Male,3,5,Mobile Phone,2,Married,2,0,18,3,7,10,181.79,1
50077,17,Mobile Phone,1,19,Debit Card,Male,2,3,Fashion,1,Married,2,1,12,1,4,3,154.47,0
50078,0,Mobile Phone,2,9,Credit Card,Female,4,5,Fashion,3,Single,3,0,20,1,4,6,109.95,0
50079,5,Mobile Phone,3,9,UPI,Female,4,2,Fashion,4,Single,2,0,20,4,6,38,148.62,1
50080,1,Phone,2,30,Credit Card,Male,2,4,Others,3,Divorced,2,1,12,2,3,13,105.59,1
50081,23,Computer,2,19,Credit Card,Female,1,2,Others,3,Divorced,2,1,23,2,4,8,189.71,0
50082,11,Computer,2,26,Credit Card,Female,2,4,Mobile Phone,4,Married,1,0,26,0,3,10,165.11,0
50083,4,Computer,1,22,Credit Card,Male,4,5,Laptop & Accessory,1,Married,4,0,23,0,3,11,152.02,1
50084,0,Mobile Phone,3,17,UPI,Female,4,5,Laptop & Accessory,4,Divorced,2,0,19,0,2,1,108.71,1
50085,4,Mobile Phone,1,32,Credit Card,Female,2,3,Fashion,5,Married,2,0,17,5,7,3,154.5,0
50086,4,Computer,2,16,Debit Card,Male,2,2,Laptop & Accessory,3,Married,1,1,14,1,4,8,141.54,0
50087,15,Computer,1,14,E Wallet,Female,4,3,Mobile Phone,4,Married,6,0,21,2,6,8,180.22,0
50088,12,Mobile Phone,1,22,E Wallet,Female,2,4,Fashion,3,Divorced,4,0,24,5,9,0,172.46,0
50089,26,Computer,2,23,E Wallet,Female,2,3,Others,4,Single,4,1,17,0,1,3,178.46,0
50090,7,Mobile Phone,2,18,COD,Female,1,4,Laptop & Accessory,3,Single,4,1,20,3,6,4,165.51,0
50091,1,Mobile Phone,3,12,Debit Card,Female,4,1,Laptop & Accessory,5,Married,1,0,18,2,6,7,126.09,1
