Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,Complain,OrderAmountHikeFromlastYear,DaySinceLastOrder,CashBackAmount,CityTier,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus
44,9,2,3,3,1,14,1,256.39,2,Debit Card,Female,Fashion,Married
1,22,3,1,1,0,17,5,137.43,1,Credit Card,Male,Mobile Phone,Single
1,10,5,2,3,0,15,5,141.88,1,COD,Female,Laptop & Accessory,Married
2,9,4,4,2,0,24,11,146.73,2,Debit Card,Male,Laptop & Accessory,Divorced
20,25,1,1,4,0,15,7,184.79,1,UPI,Male,Fashion,Single
5,12,2,1,3,0,22,1,168.27,1,Debit Card,Male,Mobile Phone,Single
10,12,5,1,5,0,21,6,157.15,3,Credit Card,Female,Laptop & Accessory,Single
17,38,4,3,5,0,20,3,207.61,1,Debit Card,Female,Laptop & Accessory,Married
2,7,3,4,5,0,24,8,152.14,1,E Wallet,Male,Mobile Phone,Single
35,14,3,3,2,0,12,6,234.76,3,E Wallet,Female,Grocery,Single
0,18,3,3,4,0,20,8,115.07,2,COD,Female,Grocery,Single
11,17,4,4,1,0,13,9,164.03,2,Credit Card,Male,Others,Single
3,18,1,2,4,0,17,7,143.79,3,Debit Card,Female,Laptop & Accessory,Single
41,15,3,1,1,1,25,3,224.57,2,E Wallet,Male,Laptop & Accessory,Married
11,14,3,2,2,0,26,3,171.71,3,Credit Card,Female,Fashion,Divorced
2,16,2,1,3,0,26,16,132.73,2,Debit Card,Female,Fashion,Divorced
13,11,4,3,3,0,16,1,153.78,1,E Wallet,Female,Mobile Phone,Married
2,10,3,3,3,1,23,9,151.18,3,Debit Card,Male,Laptop & Accessory,Single
1,8,5,5,3,1,25,7,117.31,1,UPI,Female,Laptop & Accessory,Single
18,11,3,2,3,1,21,7,190.0,3,Credit Card,Female,Others,Single
0,14,2,3,2,0,21,6,109.39,3,E Wallet,Male,Laptop & Accessory,Married
1,22,3,4,3,0,19,5,120.68,2,Debit Card,Male,Fashion,Married
8,14,1,3,3,0,18,8,151.27,1,E Wallet,Female,Fashion,Divorced
27,11,2,2,1,0,23,1,214.75,2,E Wallet,Male,Others,Single
5,10,1,1,3,0,12,9,135.44,2,Credit Card,Male,Laptop & Accessory,Single
1,13,3,4,1,1,24,3,155.91,1,Debit Card,Female,Mobile Phone,Married
6,12,3,2,3,1,24,16,151.11,1,Debit Card,Female,Fashion,Single
0,29,2,3,1,0,16,5,126.47,1,E Wallet,Male,Mobile Phone,Married
8,17,1,1,4,0,17,6,167.84,1,E Wallet,Female,Laptop & Accessory,Divorced
8,26,4,4,2,1,24,3,148.75,2,E Wallet,Male,Laptop & Accessory,Single
26,11,3,2,4,1,26,11,193.78,2,Credit Card,Female,Laptop & Accessory,Married
6,22,2,1,3,1,11,8,124.26,2,E Wallet,Female,Grocery,Married
5,19,3,4,4,0,22,3,142.96,2,Debit Card,Male,Others,Married
0,11,2,3,3,0,12,12,129.95,1,Debit Card,Female,Mobile Phone,Married
2,18,3,1,3,0,19,14,141.09,1,Credit Card,Female,Mobile Phone,Single
6,26,5,4,1,0,19,6,137.69,2,UPI,Male,Mobile Phone,Single
23,18,4,2,3,0,11,6,187.42,3,E Wallet,Male,Fashion,Married
8,11,4,3,3,1,22,12,148.67,3,Debit Card,Female,Fashion,Divorced
2,16,3,2,5,1,16,29,133.67,3,Debit Card,Male,Fashion,Married
8,11,2,2,5,0,20,2,127.54,2,UPI,Male,Laptop & Accessory,Single
1,14,3,4,3,0,26,15,132.24,3,E Wallet,Female,Mobile Phone,Single
3,24,1,3,4,0,14,21,132.32,1,Credit Card,Female,Mobile Phone,Married
4,32,3,3,5,0,24,15,153.47,1,Credit Card,Male,Laptop & Accessory,Married
25,7,3,2,1,0,22,4,191.62,1,E Wallet,Male,Fashion,Single
8,13,1,5,4,1,13,3,123.31,3,Debit Card,Female,Laptop & Accessory,Married
2,10,2,2,3,0,21,3,130.41,3,Credit Card,Female,Mobile Phone,Single
3,10,2,3,5,0,19,0,91.2,2,E Wallet,Male,Fashion,Married
0,12,2,2,2,0,14,15,146.35,1,Credit Card,Female,Mobile Phone,Single
13,20,4,4,4,1,11,9,174.11,2,Credit Card,Male,Laptop & Accessory,Single
36,9,3,3,2,1,26,1,262.56,2,UPI,Male,Mobile Phone,Married
19,9,4,3,2,0,26,11,224.13,1,Credit Card,Male,Grocery,Divorced
11,21,3,3,3,1,23,20,158.96,2,Debit Card,Male,Mobile Phone,Married
11,14,3,3,4,0,26,12,170.29,1,UPI,Male,Grocery,Married
9,16,2,2,2,0,13,16,137.56,3,Debit Card,Female,Mobile Phone,Married
7,11,4,2,3,0,17,15,158.27,1,UPI,Male,Laptop & Accessory,Married
14,24,3,4,2,0,11,0,133.42,1,Debit Card,Male,Laptop & Accessory,Married
1,19,3,3,1,0,14,15,126.65,1,Credit Card,Male,Grocery,Divorced
6,13,1,4,4,0,12,5,167.15,2,Debit Card,Female,Laptop & Accessory,Married
5,15,4,3,2,1,26,5,138.13,2,Debit Card,Female,Laptop & Accessory,Married
18,14,3,6,3,0,12,1,150.31,2,Credit Card,Male,Laptop & Accessory,Single
10,12,1,2,3,0,22,12,146.11,2,Debit Card,Female,Laptop & Accessory,Married
9,14,3,1,3,1,25,7,152.69,2,Credit Card,Female,Mobile Phone,Married
3,9,1,5,5,0,12,5,123.73,2,COD,Female,Fashion,Divorced
3,23,2,6,5,1,21,3,141.14,2,Credit Card,Female,Laptop & Accessory,Single
1,13,4,3,3,0,20,5,134.14,1,Credit Card,Female,Fashion,Single
10,18,2,1,4,0,17,6,171.95,2,UPI,Female,Fashion,Married
1,23,3,3,1,0,16,7,126.18,1,E Wallet,Male,Mobile Phone,Married
14,17,2,5,2,1,25,3,156.19,1,UPI,Male,Fashion,Married
0,15,1,1,4,0,26,3,110.79,3,UPI,Female,Laptop & Accessory,Married
15,26,3,4,1,0,11,20,148.53,1,E Wallet,Male,Mobile Phone,Single
6,10,5,3,4,0,12,17,150.94,3,Credit Card,Female,Fashion,Married
30,20,1,5,4,0,25,4,193.77,1,Debit Card,Male,Others,Single
6,13,5,3,3,0,25,4,157.33,1,Debit Card,Male,Mobile Phone,Married
4,8,4,4,4,0,22,10,148.77,1,COD,Female,Fashion,Married
7,10,2,4,3,1,21,1,158.32,3,Credit Card,Male,Mobile Phone,Married
5,23,2,4,2,1,11,11,147.23,2,UPI,Male,Mobile Phone,Married
0,13,4,3,5,1,19,0,143.52,1,Debit Card,Male,Grocery,Divorced
2,22,3,3,4,0,13,4,133.5,1,Credit Card,Male,Fashion,Single
8,13,4,2,2,0,14,2,139.0,1,UPI,Female,Laptop & Accessory,Divorced
8,35,2,4,2,0,22,1,168.21,1,E Wallet,Male,Fashion,Single
19,18,2,3,5,0,25,10,211.43,2,Credit Card,Female,Fashion,Single
17,17,2,4,3,0,19,15,181.02,1,Debit Card,Female,Grocery,Married
28,30,2,2,4,0,25,6,215.66,1,Debit Card,Male,Grocery,Married
0,10,2,4,5,0,15,5,116.35,3,Debit Card,Male,Laptop & Accessory,Single
1,13,4,3,5,0,20,6,112.71,1,COD,Male,Laptop & Accessory,Married
1,16,3,2,3,1,19,6,125.61,1,Debit Card,Male,Fashion,Married
40,27,3,5,3,0,17,19,224.97,1,Debit Card,Male,Mobile Phone,Single
18,11,4,2,3,0,15,2,174.17,3,Debit Card,Female,Laptop & Accessory,Married
13,15,5,4,5,0,19,4,174.0,2,Debit Card,Male,Fashion,Married
21,12,1,3,2,1,15,5,184.12,1,Debit Card,Female,Mobile Phone,Single
5,15,4,2,3,0,16,3,136.24,3,E Wallet,Female,Fashion,Married
10,30,4,3,3,1,11,8,149.45,3,Credit Card,Male,Laptop & Accessory,Married
0,19,1,4,4,0,18,9,162.97,1,Credit Card,Female,Mobile Phone,Divorced
1,9,3,3,3,0,11,8,125.89,2,COD,Female,Fashion,Single
36,22,3,2,3,0,20,13,239.97,1,E Wallet,Female,Grocery,Married
